"date","location","count of orders","average click to ship","average ship to porch"
"2022-08-12 00:00:00","HQ DC : HQ DC - goodr.com",2330,2.2886,4.8594
"2022-08-12 00:00:00","HQ DC : HQ DC - sellgoodr",54,1.8472,5.1990
"2022-08-13 00:00:00","HQ DC : HQ DC - goodr.com",2396,2.5697,4.3306
"2022-08-13 00:00:00","HQ DC : HQ DC - sellgoodr",23,2.2191,5.8948
"2022-08-14 00:00:00","HQ DC : HQ DC - sellgoodr",13,1.2018,5.3461
"2022-08-14 00:00:00","HQ DC : HQ DC - goodr.com",2702,1.6342,4.2121
"2022-08-15 00:00:00","HQ DC : HQ DC - goodr.com",2423,1.0130,4.4278
"2022-08-15 00:00:00","HQ DC : HQ DC - sellgoodr",51,0.5743,5.9313
"2022-08-16 00:00:00","HQ DC : HQ DC - sellgoodr",68,0.4901,5.7462
"2022-08-16 00:00:00","HQ DC : HQ DC - goodr.com",2398,0.5993,4.6670
"2022-08-17 00:00:00","HQ DC : HQ DC - goodr.com",1952,0.6216,4.1964
"2022-08-17 00:00:00","HQ DC : HQ DC - sellgoodr",48,0.8628,5.7265
"2022-08-18 00:00:00","HQ DC : HQ DC - goodr.com",1867,1.3692,4.2757
"2022-08-18 00:00:00","HQ DC : HQ DC - sellgoodr",60,1.1506,6.2444
"2022-08-19 00:00:00","HQ DC : HQ DC - sellgoodr",38,3.0251,5.4001
"2022-08-19 00:00:00","HQ DC : HQ DC - goodr.com",2786,3.5829,4.0949
"2022-08-20 00:00:00","HQ DC : HQ DC - goodr.com",2373,2.6942,4.1695
"2022-08-20 00:00:00","HQ DC : HQ DC - sellgoodr",25,2.1266,4.6516
"2022-08-21 00:00:00","HQ DC : HQ DC - goodr.com",2931,2.1017,4.8343
"2022-08-21 00:00:00","HQ DC : HQ DC - sellgoodr",20,1.2353,5.7707
"2022-08-22 00:00:00","HQ DC : HQ DC - sellgoodr",89,0.6436,5.8487
"2022-08-22 00:00:00","HQ DC : HQ DC - goodr.com",2356,1.3269,4.9031
"2022-08-23 00:00:00","HQ DC : HQ DC - sellgoodr",52,2.0969,6.1762
"2022-08-23 00:00:00","HQ DC : HQ DC - goodr.com",2061,1.1568,5.0766
"2022-08-24 00:00:00","HQ DC : HQ DC - goodr.com",1852,1.6887,5.1284
"2022-08-24 00:00:00","HQ DC : HQ DC - sellgoodr",144,1.4030,6.3622
"2022-08-25 00:00:00","HQ DC : HQ DC - sellgoodr",48,0.3628,6.7664
"2022-08-25 00:00:00","HQ DC : HQ DC - goodr.com",1994,1.9476,4.7431
"2022-08-26 00:00:00","HQ DC : HQ DC - sellgoodr",48,2.4800,4.9001
"2022-08-26 00:00:00","HQ DC : HQ DC - goodr.com",1969,3.3324,3.8103
"2022-08-27 00:00:00","HQ DC : HQ DC - goodr.com",2332,2.4020,3.8106
"2022-08-27 00:00:00","HQ DC : HQ DC - sellgoodr",24,1.7187,4.0642
"2022-08-28 00:00:00","HQ DC : HQ DC - goodr.com",2615,1.8090,4.4020
"2022-08-28 00:00:00","HQ DC : HQ DC - sellgoodr",13,0.7531,4.9583
"2022-08-29 00:00:00","HQ DC : HQ DC - goodr.com",2181,1.1873,4.4282
"2022-08-29 00:00:00","HQ DC : HQ DC - sellgoodr",48,0.5364,7.1353
"2022-08-30 00:00:00","HQ DC : HQ DC - goodr.com",2142,1.0211,4.7653
"2022-08-30 00:00:00","HQ DC : HQ DC - sellgoodr",36,0.5196,5.9907
"2022-08-31 00:00:00","HQ DC : HQ DC - sellgoodr",43,0.5203,6.4854
"2022-08-31 00:00:00","HQ DC : HQ DC - goodr.com",1879,0.6431,5.0782
"2022-09-01 00:00:00","HQ DC : HQ DC - goodr.com",1983,1.0325,5.0161
"2022-09-01 00:00:00","HQ DC : HQ DC - sellgoodr",55,0.3196,7.5689
"2022-09-02 00:00:00","HQ DC : HQ DC - sellgoodr",32,3.4830,7.8489
"2022-09-02 00:00:00","HQ DC : HQ DC - goodr.com",3769,4.0093,3.8657
"2022-09-03 00:00:00","HQ DC : HQ DC - sellgoodr",17,2.7524,7.3970
"2022-09-03 00:00:00","HQ DC : HQ DC - goodr.com",2622,3.5399,4.1247
"2022-09-04 00:00:00","HQ DC : HQ DC - goodr.com",2286,2.6096,4.2080
"2022-09-04 00:00:00","HQ DC : HQ DC - sellgoodr",19,1.7411,6.1907
"2022-09-05 00:00:00","HQ DC : HQ DC - goodr.com",5707,2.4978,5.0537
"2022-09-05 00:00:00","HQ DC : HQ DC - sellgoodr",39,0.7136,5.0576
"2022-09-06 00:00:00","HQ DC : HQ DC - goodr.com",1878,2.2268,5.0906
"2022-09-06 00:00:00","HQ DC : HQ DC - sellgoodr",61,0.6242,5.3005
"2022-09-07 00:00:00","HQ DC : HQ DC - goodr.com",1470,1.5989,5.6543
"2022-09-07 00:00:00","HQ DC : HQ DC - sellgoodr",45,0.2324,5.9425
"2022-09-08 00:00:00","HQ DC : HQ DC - goodr.com",1419,2.7079,5.6278
"2022-09-08 00:00:00","HQ DC : HQ DC - sellgoodr",48,0.5859,6.3037
"2022-09-09 00:00:00","HQ DC : HQ DC - goodr.com",2645,2.9954,5.2241
"2022-09-09 00:00:00","HQ DC : HQ DC - sellgoodr",121,2.7021,6.0746
"2022-09-10 00:00:00","HQ DC : HQ DC - goodr.com",1763,2.6341,5.0267
"2022-09-10 00:00:00","HQ DC : HQ DC - sellgoodr",26,1.7018,6.5528
"2022-09-11 00:00:00","HQ DC : HQ DC - sellgoodr",11,0.6893,6.4355
"2022-09-11 00:00:00","HQ DC : HQ DC - goodr.com",1747,1.9089,4.8090
"2022-09-12 00:00:00","HQ DC : HQ DC - goodr.com",1750,1.5334,4.5305
"2022-09-12 00:00:00","HQ DC : HQ DC - sellgoodr",50,0.8208,6.5124
"2022-09-13 00:00:00","HQ DC : HQ DC - goodr.com",1480,1.7135,5.1498
"2022-09-13 00:00:00","HQ DC : HQ DC - sellgoodr",45,0.7092,6.3888
"2022-09-14 00:00:00","HQ DC : HQ DC - sellgoodr",28,1.3615,6.1949
"2022-09-14 00:00:00","HQ DC : HQ DC - goodr.com",1617,1.4312,5.2666
"2022-09-15 00:00:00","HQ DC : HQ DC - goodr.com",1378,3.4932,4.5597
"2022-09-15 00:00:00","HQ DC : HQ DC - sellgoodr",156,2.6343,6.2227
"2022-09-16 00:00:00","HQ DC : HQ DC - sellgoodr",34,3.4582,5.2646
"2022-09-16 00:00:00","HQ DC : HQ DC - goodr.com",1331,3.2865,3.9814
"2022-09-17 00:00:00","HQ DC : HQ DC - goodr.com",1656,2.3578,3.9618
"2022-09-17 00:00:00","HQ DC : HQ DC - sellgoodr",18,2.3680,6.2036
"2022-09-18 00:00:00","HQ DC : HQ DC - goodr.com",1876,1.3489,4.1155
"2022-09-18 00:00:00","HQ DC : HQ DC - sellgoodr",12,2.0902,6.7846
"2022-09-19 00:00:00","HQ DC : HQ DC - sellgoodr",51,1.7859,6.5669
"2022-09-19 00:00:00","HQ DC : HQ DC - goodr.com",1639,1.6162,4.7963
"2022-09-20 00:00:00","HQ DC : HQ DC - sellgoodr",33,1.2133,5.8560
"2022-09-20 00:00:00","HQ DC : HQ DC - goodr.com",1493,1.9714,5.7439
"2022-09-21 00:00:00","HQ DC : HQ DC - goodr.com",1272,1.1095,5.0962
"2022-09-21 00:00:00","HQ DC : HQ DC - sellgoodr",55,1.4219,5.4052
"2022-09-22 00:00:00","HQ DC : HQ DC - goodr.com",1116,3.2943,4.1205
"2022-09-22 00:00:00","HQ DC : HQ DC - sellgoodr",28,3.6443,6.0133
"2022-09-23 00:00:00","HQ DC : HQ DC - goodr.com",1379,3.6421,3.5100
"2022-09-23 00:00:00","HQ DC : HQ DC - sellgoodr",32,3.6223,6.0195
"2022-09-24 00:00:00","HQ DC : HQ DC - goodr.com",1492,2.4936,3.4863
"2022-09-24 00:00:00","HQ DC : HQ DC - sellgoodr",9,3.6712,6.5323
"2022-09-25 00:00:00","HQ DC : HQ DC - goodr.com",1707,2.0060,3.9346
"2022-09-25 00:00:00","HQ DC : HQ DC - sellgoodr",12,1.1249,6.0798
"2022-09-26 00:00:00","HQ DC : HQ DC - sellgoodr",29,2.1350,5.3390
"2022-09-26 00:00:00","HQ DC : HQ DC - goodr.com",1562,2.7011,4.3063
"2022-09-27 00:00:00","HQ DC : HQ DC - goodr.com",2125,2.3105,4.6311
"2022-09-27 00:00:00","HQ DC : HQ DC - sellgoodr",55,2.8416,5.5787
"2022-09-28 00:00:00","HQ DC : HQ DC - goodr.com",1580,1.7887,4.8329
"2022-09-28 00:00:00","HQ DC : HQ DC - sellgoodr",22,2.7480,5.8636
"2022-09-29 00:00:00","HQ DC : HQ DC - goodr.com",1072,1.4219,4.3725
"2022-09-29 00:00:00","HQ DC : HQ DC - sellgoodr",27,2.1064,5.7129
"2022-09-30 00:00:00","HQ DC : HQ DC - goodr.com",1347,3.7245,4.5582
"2022-09-30 00:00:00","HQ DC : HQ DC - sellgoodr",164,4.0705,6.2634
"2022-10-01 00:00:00","HQ DC : HQ DC - goodr.com",1336,3.1075,4.4165
"2022-10-01 00:00:00","HQ DC : HQ DC - sellgoodr",27,3.2916,6.4598
"2022-10-02 00:00:00","HQ DC : HQ DC - sellgoodr",12,2.3332,5.5902
"2022-10-02 00:00:00","HQ DC : HQ DC - goodr.com",1414,2.4272,4.6683
"2022-10-03 00:00:00","HQ DC : HQ DC - goodr.com",1498,1.9211,4.4772
"2022-10-03 00:00:00","HQ DC : HQ DC - sellgoodr",48,2.4287,6.1084
"2022-10-04 00:00:00","HQ DC : HQ DC - goodr.com",1337,1.5699,4.4468
"2022-10-04 00:00:00","HQ DC : HQ DC - sellgoodr",41,2.7326,5.7093
"2022-10-05 00:00:00","HQ DC : HQ DC - sellgoodr",32,2.7577,5.1601
"2022-10-05 00:00:00","HQ DC : HQ DC - goodr.com",1116,1.9536,5.6406
"2022-10-06 00:00:00","HQ DC : HQ DC - sellgoodr",29,1.7787,5.3979
"2022-10-06 00:00:00","HQ DC : HQ DC - goodr.com",1195,4.3419,3.9514
"2022-10-07 00:00:00","HQ DC : HQ DC - goodr.com",1760,3.3587,3.9520
"2022-10-07 00:00:00","HQ DC : HQ DC - sellgoodr",113,3.0021,4.2827
"2022-10-08 00:00:00","HQ DC : HQ DC - sellgoodr",20,1.8666,4.0687
"2022-10-08 00:00:00","HQ DC : HQ DC - goodr.com",1407,2.7490,4.1381
"2022-10-09 00:00:00","HQ DC : HQ DC - goodr.com",1484,2.2879,4.6945
"2022-10-09 00:00:00","HQ DC : HQ DC - sellgoodr",17,1.2573,3.9387
"2022-10-10 00:00:00","HQ DC : HQ DC - goodr.com",1554,1.6179,4.6903
"2022-10-10 00:00:00","HQ DC : HQ DC - sellgoodr",69,2.0500,5.8514
"2022-10-11 00:00:00","HQ DC : HQ DC - sellgoodr",46,1.3858,5.7834
"2022-10-11 00:00:00","HQ DC : HQ DC - goodr.com",2765,1.5854,5.8941
"2022-10-12 00:00:00","HQ DC : HQ DC - goodr.com",1584,1.7161,6.0794
"2022-10-12 00:00:00","HQ DC : HQ DC - sellgoodr",69,0.7946,5.7366
"2022-10-13 00:00:00","HQ DC : HQ DC - sellgoodr",54,0.1697,6.0570
"2022-10-13 00:00:00","HQ DC : HQ DC - goodr.com",1051,4.2559,4.4451
"2022-10-14 00:00:00","HQ DC : HQ DC - goodr.com",1369,4.3691,4.0331
"2022-10-14 00:00:00","HQ DC : HQ DC - sellgoodr",39,0.5139,5.3845
"2022-10-15 00:00:00","HQ DC : HQ DC - sellgoodr",26,1.7259,3.5512
"2022-10-15 00:00:00","HQ DC : HQ DC - goodr.com",1524,3.1952,3.8527
"2022-10-16 00:00:00","HQ DC : HQ DC - goodr.com",1739,2.4195,3.9236
"2022-10-16 00:00:00","HQ DC : HQ DC - sellgoodr",6,0.4860,2.6944
"2022-10-17 00:00:00","HQ DC : HQ DC - goodr.com",1263,2.3631,4.0223
"2022-10-17 00:00:00","HQ DC : HQ DC - sellgoodr",69,0.4214,4.4281
"2022-10-18 00:00:00","HQ DC : HQ DC - goodr.com",1330,1.8144,4.2583
"2022-10-18 00:00:00","HQ DC : HQ DC - sellgoodr",30,0.5291,5.0610
"2022-10-19 00:00:00","HQ DC : HQ DC - goodr.com",1056,1.4540,4.4526
"2022-10-19 00:00:00","HQ DC : HQ DC - sellgoodr",28,0.5609,5.6934
"2022-10-20 00:00:00","HQ DC : HQ DC - sellgoodr",76,0.8744,6.7302
"2022-10-20 00:00:00","HQ DC : HQ DC - goodr.com",947,1.5720,4.6047
"2022-10-21 00:00:00","HQ DC : HQ DC - sellgoodr",33,0.9987,6.7689
"2022-10-21 00:00:00","HQ DC : HQ DC - goodr.com",1464,2.5963,4.7231
"2022-10-22 00:00:00","HQ DC : HQ DC - goodr.com",1380,2.9887,4.4537
"2022-10-22 00:00:00","HQ DC : HQ DC - sellgoodr",20,1.7312,4.4083
"2022-10-23 00:00:00","HQ DC : HQ DC - goodr.com",1284,1.9232,4.5610
"2022-10-23 00:00:00","HQ DC : HQ DC - sellgoodr",12,0.6701,4.2812
"2022-10-24 00:00:00","HQ DC : HQ DC - sellgoodr",39,0.6794,4.6367
"2022-10-24 00:00:00","HQ DC : HQ DC - goodr.com",991,1.9295,3.9884
"2022-10-25 00:00:00","HQ DC : HQ DC - goodr.com",1084,1.6007,3.6553
"2022-10-25 00:00:00","HQ DC : HQ DC - sellgoodr",43,0.6114,5.6850
"2022-10-26 00:00:00","HQ DC : HQ DC - goodr.com",1031,1.2156,3.4353
"2022-10-26 00:00:00","HQ DC : HQ DC - sellgoodr",41,0.3099,5.6076
"2022-10-27 00:00:00","HQ DC : HQ DC - sellgoodr",36,0.0787,5.6342
"2022-10-27 00:00:00","HQ DC : HQ DC - goodr.com",1061,0.9881,3.1583
"2022-10-28 00:00:00","HQ DC : HQ DC - sellgoodr",77,0.8138,6.1119
"2022-10-28 00:00:00","HQ DC : HQ DC - goodr.com",830,1.6373,3.6742
"2022-10-29 00:00:00","HQ DC : HQ DC - sellgoodr",11,1.7802,4.1855
"2022-10-29 00:00:00","HQ DC : HQ DC - goodr.com",990,2.2410,3.3880
"2022-10-30 00:00:00","HQ DC : HQ DC - goodr.com",1164,1.1436,3.3254
"2022-10-30 00:00:00","HQ DC : HQ DC - sellgoodr",10,0.6749,3.9166
"2022-10-31 00:00:00","HQ DC : HQ DC - goodr.com",1861,0.9868,3.6382
"2022-10-31 00:00:00","HQ DC : HQ DC - sellgoodr",42,0.1884,5.3442
"2022-11-01 00:00:00","HQ DC : HQ DC - goodr.com",936,0.9481,3.4311
"2022-11-01 00:00:00","HQ DC : HQ DC - sellgoodr",26,0.1137,4.8829
"2022-11-02 00:00:00","HQ DC : HQ DC - sellgoodr",107,1.7098,4.9676
"2022-11-02 00:00:00","HQ DC : HQ DC - goodr.com",1010,0.9462,5.1045
"2022-11-03 00:00:00","HQ DC : HQ DC - goodr.com",905,0.9254,5.9966
"2022-11-03 00:00:00","HQ DC : HQ DC - sellgoodr",75,1.0194,4.8166
"2022-11-04 00:00:00","HQ DC : HQ DC - sellgoodr",32,2.6757,4.7017
"2022-11-04 00:00:00","HQ DC : HQ DC - goodr.com",1003,3.5393,3.7947
"2022-11-05 00:00:00","HQ DC : HQ DC - goodr.com",1047,2.7408,3.4209
"2022-11-05 00:00:00","HQ DC : HQ DC - sellgoodr",7,1.9285,4.0773
"2022-11-06 00:00:00","HQ DC : HQ DC - goodr.com",1420,1.7251,3.4950
"2022-11-06 00:00:00","HQ DC : HQ DC - sellgoodr",10,1.1874,5.0541
"2022-11-07 00:00:00","HQ DC : HQ DC - sellgoodr",29,0.6551,5.3749
"2022-11-07 00:00:00","HQ DC : HQ DC - goodr.com",1034,1.0911,3.7279
"2022-11-08 00:00:00","HQ DC : HQ DC - goodr.com",952,0.7319,3.6674
"2022-11-08 00:00:00","HQ DC : HQ DC - sellgoodr",75,0.4416,7.8471
"2022-11-09 00:00:00","HQ DC : HQ DC - goodr.com",872,0.8079,5.0015
"2022-11-09 00:00:00","HQ DC : HQ DC - sellgoodr",53,0.5683,5.4999
"2022-11-10 00:00:00","HQ DC : HQ DC - sellgoodr",28,0.8095,5.7172
"2022-11-10 00:00:00","HQ DC : HQ DC - goodr.com",1103,1.8629,6.4483
"2022-11-11 00:00:00","HQ DC : HQ DC - goodr.com",1067,3.2703,4.9549
"2022-11-11 00:00:00","HQ DC : HQ DC - sellgoodr",46,3.1929,6.3016
"2022-11-12 00:00:00","HQ DC : HQ DC - goodr.com",1147,2.2727,5.0656
"2022-11-12 00:00:00","HQ DC : HQ DC - sellgoodr",19,2.1271,6.5876
"2022-11-13 00:00:00","HQ DC : HQ DC - goodr.com",2133,1.3215,5.1173
"2022-11-13 00:00:00","HQ DC : HQ DC - sellgoodr",16,1.1874,5.3879
"2022-11-14 00:00:00","HQ DC : HQ DC - goodr.com",2546,1.5981,4.4203
"2022-11-14 00:00:00","HQ DC : HQ DC - sellgoodr",52,1.1129,6.7908
"2022-11-15 00:00:00","HQ DC : HQ DC - goodr.com",805,1.3727,4.6470
"2022-11-15 00:00:00","HQ DC : HQ DC - sellgoodr",52,0.9190,5.8445
"2022-11-16 00:00:00","HQ DC : HQ DC - sellgoodr",34,0.7181,7.1347
"2022-11-16 00:00:00","HQ DC : HQ DC - goodr.com",778,1.3447,5.7112
"2022-11-17 00:00:00","HQ DC : HQ DC - sellgoodr",34,1.9754,6.4350
"2022-11-17 00:00:00","HQ DC : HQ DC - goodr.com",787,3.2155,5.1672
"2022-11-18 00:00:00","HQ DC : HQ DC - goodr.com",1157,3.2625,4.9865
"2022-11-18 00:00:00","HQ DC : HQ DC - sellgoodr",19,2.9780,6.6161
"2022-11-19 00:00:00","HQ DC : HQ DC - goodr.com",1114,2.3007,4.8318
"2022-11-19 00:00:00","HQ DC : HQ DC - sellgoodr",13,1.9807,5.8877
"2022-11-20 00:00:00","HQ DC : HQ DC - goodr.com",1186,1.9887,6.1289
"2022-11-20 00:00:00","HQ DC : HQ DC - sellgoodr",7,1.0595,5.7737
"2022-11-21 00:00:00","HQ DC : HQ DC - sellgoodr",37,0.8231,6.4436
"2022-11-21 00:00:00","HQ DC : HQ DC - goodr.com",1089,1.5887,6.1160
"2022-11-22 00:00:00","HQ DC : HQ DC - sellgoodr",34,0.3198,6.6923
"2022-11-22 00:00:00","HQ DC : HQ DC - goodr.com",1018,0.8344,6.2300
"2022-11-23 00:00:00","HQ DC : HQ DC - goodr.com",2664,2.5909,5.1984
"2022-11-23 00:00:00","HQ DC : HQ DC - sellgoodr",25,4.9666,5.7099
"2022-11-24 00:00:00","HQ DC : HQ DC - sellgoodr",3,5.2083,10.0277
"2022-11-24 00:00:00","HQ DC : HQ DC - goodr.com",5185,1.6925,5.2846
"2022-11-25 00:00:00","HQ DC : HQ DC - goodr.com",10686,1.7425,5.2671
"2022-11-25 00:00:00","HQ DC : HQ DC - sellgoodr",23,4.6901,6.1485
"2022-11-26 00:00:00","HQ DC : HQ DC - goodr.com",5864,2.6787,5.1059
"2022-11-26 00:00:00","HQ DC : HQ DC - sellgoodr",23,2.9419,6.5307
"2022-11-27 00:00:00","HQ DC : HQ DC - sellgoodr",11,5.3673,8.1211
"2022-11-27 00:00:00","HQ DC : HQ DC - goodr.com",5854,3.3439,6.1491
"2022-11-28 00:00:00","HQ DC : HQ DC - goodr.com",12226,2.9599,6.6216
"2022-11-28 00:00:00","HQ DC : HQ DC - sellgoodr",40,5.2218,9.6447
"2022-11-29 00:00:00","HQ DC : HQ DC - goodr.com",1584,2.8255,6.7509
"2022-11-29 00:00:00","HQ DC : HQ DC - sellgoodr",43,3.5997,9.1385
"2022-11-30 00:00:00","HQ DC : HQ DC - sellgoodr",31,5.7378,6.7351
"2022-11-30 00:00:00","HQ DC : HQ DC - goodr.com",1179,4.4662,6.1586
"2022-12-01 00:00:00","HQ DC : HQ DC - sellgoodr",51,4.8063,6.2916
"2022-12-01 00:00:00","HQ DC : HQ DC - goodr.com",1318,6.0566,5.7380
"2022-12-02 00:00:00","HQ DC : HQ DC - goodr.com",1326,5.7390,5.6550
"2022-12-02 00:00:00","HQ DC : HQ DC - sellgoodr",40,3.8655,6.2614
"2022-12-03 00:00:00","HQ DC : HQ DC - goodr.com",1464,4.6675,5.6574
"2022-12-03 00:00:00","HQ DC : HQ DC - sellgoodr",23,2.8985,6.3061
"2022-12-04 00:00:00","HQ DC : HQ DC - sellgoodr",13,3.8813,7.6409
"2022-12-04 00:00:00","HQ DC : HQ DC - goodr.com",1827,5.2933,3.9406
"2022-12-05 00:00:00","HQ DC : HQ DC - goodr.com",1868,4.3747,4.8161
"2022-12-05 00:00:00","HQ DC : HQ DC - sellgoodr",45,2.8610,7.1832
"2022-12-06 00:00:00","HQ DC : HQ DC - sellgoodr",41,6.0009,6.0060
"2022-12-06 00:00:00","HQ DC : HQ DC - goodr.com",1986,3.7861,4.9896
"2022-12-06 00:00:00","Stord ATL : Stord ATL - goodr.com",2,3.8958,4.9583
"2022-12-07 00:00:00","HQ DC : HQ DC - goodr.com",1772,3.9602,4.7269
"2022-12-07 00:00:00","HQ DC : HQ DC - sellgoodr",35,5.3916,6.0142
"2022-12-08 00:00:00","HQ DC : HQ DC - goodr.com",1830,4.3164,4.2874
"2022-12-08 00:00:00","HQ DC : HQ DC - sellgoodr",34,4.3663,5.5820
"2022-12-09 00:00:00","HQ DC : HQ DC - sellgoodr",27,3.6342,5.0508
"2022-12-09 00:00:00","HQ DC : HQ DC - goodr.com",1935,3.3570,4.2573
"2022-12-10 00:00:00","HQ DC : HQ DC - goodr.com",2091,2.6642,4.2278
"2022-12-10 00:00:00","HQ DC : HQ DC - sellgoodr",6,1.9513,5.4999
"2022-12-11 00:00:00","HQ DC : HQ DC - sellgoodr",10,1.4249,4.8957
"2022-12-11 00:00:00","HQ DC : HQ DC - goodr.com",2366,2.0347,4.0269
"2022-12-12 00:00:00","HQ DC : HQ DC - sellgoodr",41,0.9105,6.0934
"2022-12-12 00:00:00","HQ DC : HQ DC - goodr.com",2840,1.4237,4.0387
"2022-12-13 00:00:00","HQ DC : HQ DC - goodr.com",2720,1.0683,4.5234
"2022-12-13 00:00:00","HQ DC : HQ DC - sellgoodr",31,0.7284,5.7513
"2022-12-14 00:00:00","HQ DC : HQ DC - sellgoodr",28,0.1383,5.3124
"2022-12-14 00:00:00","Stord ATL : Stord ATL - goodr.com",1,2.2083,3.5416
"2022-12-14 00:00:00","HQ DC : HQ DC - goodr.com",3291,0.9224,5.3450
"2022-12-15 00:00:00","HQ DC : HQ DC - sellgoodr",19,0.6600,8.3815
"2022-12-15 00:00:00","HQ DC : HQ DC - goodr.com",1825,3.5225,4.0499
"2022-12-15 00:00:00","Stord ATL : Stord ATL - goodr.com",1,1.5000,3.5000
"2022-12-16 00:00:00","HQ DC : HQ DC - sellgoodr",18,2.6967,4.9235
"2022-12-16 00:00:00","HQ DC : HQ DC - goodr.com",1573,3.2119,3.6440
"2022-12-17 00:00:00","HQ DC : HQ DC - goodr.com",1594,2.2051,3.6731
"2022-12-17 00:00:00","HQ DC : HQ DC - sellgoodr",12,1.6458,5.9513
"2022-12-18 00:00:00","HQ DC : HQ DC - goodr.com",1528,1.2233,3.5143
"2022-12-18 00:00:00","HQ DC : HQ DC - sellgoodr",7,0.5833,4.9880
"2022-12-19 00:00:00","Stord ATL : Stord ATL - sellgoodr",2,0.7916,2.6041
"2022-12-19 00:00:00","HQ DC : HQ DC - goodr.com",1304,1.0214,3.6149
"2022-12-19 00:00:00","HQ DC : HQ DC - sellgoodr",24,0.2604,6.8645
"2022-12-20 00:00:00","HQ DC : HQ DC - sellgoodr",29,0.2011,7.0588
"2022-12-20 00:00:00","HQ DC : HQ DC - goodr.com",824,0.6509,3.5586
"2022-12-20 00:00:00","Stord ATL : Stord ATL - sellgoodr",1,1.0000,4.7083
"2022-12-21 00:00:00","HQ DC : HQ DC - goodr.com",736,0.7774,4.5234
"2022-12-21 00:00:00","HQ DC : HQ DC - sellgoodr",16,0.7109,8.1744
"2022-12-22 00:00:00","HQ DC : HQ DC - sellgoodr",24,4.1701,4.4635
"2022-12-22 00:00:00","HQ DC : HQ DC - goodr.com",550,4.6564,3.2126
"2022-12-23 00:00:00","HQ DC : HQ DC - goodr.com",558,4.1392,3.0165
"2022-12-23 00:00:00","HQ DC : HQ DC - sellgoodr",16,3.7108,6.4661
"2022-12-24 00:00:00","HQ DC : HQ DC - goodr.com",509,3.1114,3.1062
"2022-12-24 00:00:00","HQ DC : HQ DC - sellgoodr",13,2.7339,6.2756
"2022-12-25 00:00:00","HQ DC : HQ DC - goodr.com",716,2.1389,3.2620
"2022-12-25 00:00:00","HQ DC : HQ DC - sellgoodr",1,1.7083,13.0833
"2022-12-26 00:00:00","HQ DC : HQ DC - sellgoodr",22,3.1798,8.3522
"2022-12-26 00:00:00","HQ DC : HQ DC - goodr.com",955,1.0929,3.2241
"2022-12-27 00:00:00","HQ DC : HQ DC - goodr.com",949,2.0840,3.2927
"2022-12-27 00:00:00","HQ DC : HQ DC - sellgoodr",36,2.8228,7.2592
"2022-12-28 00:00:00","HQ DC : HQ DC - sellgoodr",45,4.8805,6.3397
"2022-12-28 00:00:00","HQ DC : HQ DC - goodr.com",912,1.3463,3.2156
"2022-12-29 00:00:00","HQ DC : HQ DC - sellgoodr",43,4.9902,6.2625
"2022-12-29 00:00:00","HQ DC : HQ DC - goodr.com",1075,3.2317,5.1984
"2022-12-30 00:00:00","HQ DC : HQ DC - goodr.com",922,4.3472,4.2732
"2022-12-30 00:00:00","HQ DC : HQ DC - sellgoodr",36,4.6006,5.6538
"2022-12-31 00:00:00","HQ DC : HQ DC - goodr.com",775,3.3838,4.1700
"2022-12-31 00:00:00","HQ DC : HQ DC - sellgoodr",14,3.6547,6.5208
